Time;Label
308.097;BraCal: begin auto
347.964;ArmCuff: 119/80
393.600;ArmCuff: 123/83
553.263;BraCal: 121/81.5, Δ+33
669.307;FlowCal: begin
704.017;FlowCal: end
706.014;FloCal: 65% (2.7 l/min)
847.631;User marker 1
852.583;BraCal: begin auto
877.252;ArmCuff: 119/73
901.861;ArmCuff: 114/71
921.948;BraCal: 116.5/72, Δ+24
971.424;FlowCal: begin
1015.510;FlowCal: end
1016.352;FloCal: 100% (3.9 l/min)
1518.807;FlowCal: begin
1561.988;FlowCal: end
1562.768;FloCal: 98% (3.8 l/min)
2120.943;FlowCal: begin
2158.528;FlowCal: end
2159.401;FloCal: 96% (4.4 l/min)
2725.882;FlowCal: begin
2976.020;FlowCal: end
2979.015;FloCal: 78% (3.7 l/min)
3316.471;FlowCal: begin
3351.042;FlowCal: end
3351.837;FloCal: 83% (4.1 l/min)
3935.057;FlowCal: begin
3974.427;FlowCal: end
3975.426;FloCal: 105% (4.8 l/min)
4438.341;User marker 2
4450.155;BraCal: begin auto
4513.543;ArmCuff: 123/77
4543.260;ArmCuff: 113/78
4547.264;Cuff = Cuff2
4573.061;BraCal: 118/77.5, Δ+5
4736.770;Cuff = Cuff1
4858.845;FlowCal: begin
4927.797;FlowCal: end
4928.718;FloCal: 61% (3.3 l/min)
5126.827;FlowCal: begin
5160.476;FlowCal: end
5161.911;FloCal: 54% (2.8 l/min)
