Time;Label
248.242;User marker 1
267.553;BraCal: begin auto
294.889;ArmCuff: 122/77
328.205;ArmCuff: 116/77
364.837;BraCal: 119/77, Δ+24
373.177;FlowCal: begin
415.020;FlowCal: end
417.209;FloCal: 58% (3.1 l/min)
692.399;User marker 2
880.492;BraCal: begin auto
905.315;ArmCuff: 112/75
933.930;ArmCuff: 115/77
982.834;BraCal: 113.5/76, Δ+11
990.656;FlowCal: begin
1064.885;FlowCal: end
1065.884;FloCal: 83% (5.0 l/min)
1580.754;FlowCal: begin
1634.948;FlowCal: end
2176.508;BraCal: begin auto
2200.549;ArmCuff: 117/71
2228.154;ArmCuff: 115/71
2307.014;BraCal: 116/71, Δ+13
2320.621;FlowCal: begin
2363.620;FlowCal: end
2365.492;FloCal: 82% (4.9 l/min)
2762.832;FlowCal: begin
2827.553;FlowCal: end
2829.925;FloCal: 89% (5.3 l/min)
3384.402;FlowCal: begin
3435.003;FlowCal: end
3436.375;FloCal: 91% (5.3 l/min)
3958.960;BraCal: begin auto
3985.562;ArmCuff: 121/78
4013.675;ArmCuff: 113/73
4118.046;BraCal: 117/75.5, Δ+7
4130.516;FlowCal: begin
4173.391;FlowCal: end
4175.342;FloCal: 95% (5.3 l/min)
4304.120;User marker 3
4446.004;BraCal: begin auto
4474.597;ArmCuff: 134/98
4501.609;ArmCuff: 135/89
4608.644;BraCal: 134.5/93.5, Δ+9
4617.523;FlowCal: begin
4653.561;FlowCal: end
4654.622;FloCal: 65% (3.3 l/min)
5225.183;FlowCal: begin
5307.762;FlowCal: end
5309.339;FloCal: 66% (3.2 l/min)
